"LURN_SAK","INCIDENT_DATE","STAT","STAT_DESC","STREET","CITY","ZIP","XY_POINT","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
16498145,"2013-08-30 11:45:00","065","BURGLARY, RESIDENCE: Day, Entry No Force","25800 EL GATO PL","VALENCIA",,"6397715.74086569,1971587.9829531","013-11972-0622","0622","11972","CA0190006","SANTA CLARITA VALLEY","N"
16499672,"2013-08-30 11:45:00","067","BURGLARY, RESIDENCE: Unknown, Entry By Force","1400 HARPER AVE","WEST HOLLYWOOD","90069","6449998.927682,1857978.829639","913-05065-0975","0975","05065","CA0190009","WEST HOLLYWOOD","N"
16498472,"2013-08-30 11:52:30","064","BURGLARY, RESIDENCE: Day, Entry By Force","3300 HONEYSUCKLE AVE","PALMDALE","93550","6541159.27845313,2032264.67557587","913-12439-2608","2608","12439","CA01900W9","PALMDALE","N"
16501254,"2013-08-30 12:00:00","068","BURGLARY, RESIDENCE: Unknown, Entry No Force","43200 GADSDEN AVE","LANCASTER",,"6518198.32995252,2065705.88494001","913-15851-1124","1124","15851","CA0190024","LANCASTER","N"
16498059,"2013-08-30 12:07:30","065","BURGLARY, RESIDENCE: Day, Entry No Force","300 W SECOND ST","SAN DIMAS","91773","6618377.64763813,1862092.33153802","913-04293-0812","0812","04293","CA0190008","SAN DIMAS","N"
16499686,"2013-08-30 12:12:30","067","BURGLARY, RESIDENCE: Unknown, Entry By Force","37800 42ND ST E","PALMDALE",,"6545410.91510838,2029652.18030701","913-12508-2607","2607","12508","CA01900W9","PALMDALE","N"
16498124,"2013-08-30 12:30:00","065","BURGLARY, RESIDENCE: Day, Entry No Force","1900 BURKETT RD","EL MONTE","91733","6553240.47771586,1837575.58431178","913-08295-0577","0577","08295","CA0190005","TEMPLE","N"
16498280,"2013-08-30 12:45:00","064","BURGLARY, RESIDENCE: Day, Entry By Force","4600 ENCINAS DR","LA CANADA","91011","6499418.19559687,1898837.4670371","913-01685-1262","1262","01685","CA0190012","CRESCENTA VALLEY","N"
16498133,"2013-08-30 13:07:30","064","BURGLARY, RESIDENCE: Day, Entry By Force","11600 ANGELL ST","NORWALK","90650","6536026.34514944,1790430.88529427","913-11956-0453","0453","11956","CA0190004","NORWALK","N"
16498194,"2013-08-30 13:45:00","065","BURGLARY, RESIDENCE: Day, Entry No Force","5810 VISTA ST","SAN GABRIEL","91775","6536578.01991925,1860653.62031979","913-08300-0587","0587","08300","CA0190005","TEMPLE","N"
16498263,"2013-08-30 14:57:30","064","BURGLARY, RESIDENCE: Day, Entry By Force","43100 CHERBOURG LN","LANCASTER",,"6503925.59373428,2064724.77830644","913-15616-1192","1192","15616","CA0190024","LANCASTER","N"
16498170,"2013-08-30 16:09:57","068","BURGLARY, RESIDENCE: Unknown, Entry No Force","16702 HAWTHORNE BLVD","LAWNDALE",,"6454731.510176,1778681.231355","913-07535-0334","0334","07535","CA0190003","SOUTH LOS ANGELES","N"
16498581,"2013-08-30 17:00:00","077","BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force","600 ARMITOS PL","DIAMOND BAR","91765","6623357.81812392,1829487.17037052","913-06023-2923","2923","06023","CA0190020","WALNUT","N"
16498236,"2013-08-30 17:16:55","064","BURGLARY, RESIDENCE: Day, Entry By Force","1100 W CLARION DR","TORRANCE",,"6471514.6464172,1762817.95101893","013-08901-1696","1696","08901","CA0190016","CARSON","N"
16498266,"2013-08-30 17:19:00","066","BURGLARY, RESIDENCE: Day, Attempt","3300 133RD ST","HAWTHORNE","90250","6460786.85225604,1790291.14574438","913-07537-0379","0379","07537","CA0190003","SOUTH LOS ANGELES","N"
16498393,"2013-08-30 17:30:00","075","BURGLARY, OTHER STRUCTURE: Day, Entry No Force","1200 RANCHO VISTA BLVD","PALMDALE",,"6529203.07514028,2041527.78385401","913-12435-2618","2618","12435","CA01900W9","PALMDALE","N"
16510057,"2013-08-30 20:07:30","061","BURGLARY, RESIDENCE: Night, Entry by Force","3900 ROSEMEAD BLVD","ROSEMEAD","91770","6539661.28702654,1851313.0168106","913-80082-0531","0531","80082","CA0190005","TEMPLE","N"
16498601,"2013-08-30 21:30:00","062","BURGLARY, RESIDENCE: Night, Entry No Force","400 BAUCHET ST","LOS ANGELES","90012","6491552.34682727,1844031.94967987","913-00905-5100","5100","00905","CA0190058","MCJ","N"
16498825,"2013-08-30 22:00:00","064","BURGLARY, RESIDENCE: Day, Entry By Force","9200 LAUREL ST","LOS ANGELES","90002","6491684.59754704,1805216.42626119","913-13468-2177","2177","13468","CA01900V3","CENTURY","N"
16501497,"2013-08-30 23:30:00","078","BURGLARY, OTHER STRUCTURE: Unknown, Entry No Force","15800 SAN JOSE AVE","LA PUENTE",,"6577042.3156108,1831632.8872077","913-09873-1434","1434","09873","CA0190014","INDUSTRY","N"
16498585,"2013-08-31 00:15:50","061","BURGLARY, RESIDENCE: Night, Entry by Force","600 E REALTY ST","CARSON",,"6481775.86506794,1751710.16713218","913-08910-1625","1625","08910","CA0190016","CARSON","N"
16498846,"2013-08-31 01:00:00","072","BURGLARY, OTHER STRUCTURE: Night, Entry No Force","4600 FIR ST","PICO RIVERA","90660","6533833.78555821,1825901.3904686","913-06473-1510","1510","06473","CA0190015","PICO RIVERA","N"
16498629,"2013-08-31 01:17:00","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","19000 LA PUENTE RD","WEST COVINA","91792","6596069.52591586,1826016.24161687","913-06025-2945","2945","06025","CA0190020","WALNUT","N"
16498712,"2013-08-31 01:17:30","061","BURGLARY, RESIDENCE: Night, Entry by Force","9000 HARRATT ST","WEST HOLLYWOOD","90069","6443940.72092211,1855085.97809669","913-05041-0977","0977","05041","CA0190009","WEST HOLLYWOOD","N"
16498755,"2013-08-31 01:30:00","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","7200 SLAUSON AVE","COMMERCE","90040","6521007.36103138,1814836.61664063","913-10734-0246","0246","10734","CA0190002","EAST LOS ANGELES","N"
16498758,"2013-08-31 02:00:00","061","BURGLARY, RESIDENCE: Night, Entry by Force","9300 MAYNE ST","BELLFLOWER",,"6520767.11910629,1780819.80838785","913-16961-1334","1334","16961","CA0190013","LAKEWOOD","N"
16498988,"2013-08-31 02:00:00","078","BURGLARY, OTHER STRUCTURE: Unknown, Entry No Force","42200 7TH ST E","LANCASTER",,"6526392.42708136,2059128.2763761","913-15696-1134","1134","15696","CA0190024","LANCASTER","N"
16498744,"2013-08-31 02:15:00","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","2200 E EL SEGUNDO BLVD","COMPTON","90222","6491056.2352867,1792036.24494445","913-13460-2136","2136","13460","CA01900V3","CENTURY","N"
16500910,"2013-08-31 02:30:00","077","BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force","38000 27TH ST E","PALMDALE","93550","6537307.43570509,2031366.27757667","913-12581-2608","2608","12581","CA01900W9","PALMDALE","N"
16501045,"2013-08-31 03:00:00","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","44400 16TH ST W","LANCASTER",,"6514121.05890761,2073814.48781729","913-15843-1125","1125","15843","CA0190024","LANCASTER","N"
16498727,"2013-08-31 03:00:00","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","13400 ROSECRANS AVE","NORWALK","90650","6547681.94027653,1786721.71718769","913-12000-0454","0454","12000","CA0190004","NORWALK","N"
16498840,"2013-08-31 03:30:00","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","1500 CENTRAL AVE","SOUTH EL MONTE","91733","6547504.186195,1839009.34501321","913-08326-0561","0561","08326","CA0190005","TEMPLE","N"
16498707,"2013-08-31 04:00:00","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","44900 VALLEY CENTRAL WAY","LANCASTER",,"6509043.12525154,2077334.36008176","913-15678-1127","1127","15678","CA0190024","LANCASTER","N"
16498812,"2013-08-31 04:15:00","072","BURGLARY, OTHER STRUCTURE: Night, Entry No Force","3300 W AVENUE L-2","LANCASTER",,"6504104.89586912,2062213.40176754","913-15682-1192","1192","15682","CA0190024","LANCASTER","N"
16499009,"2013-08-31 04:30:00","078","BURGLARY, OTHER STRUCTURE: Unknown, Entry No Force","4500 SANTA ANA ST","CUDAHY","90201","6504484.15987436,1808114.05071528","913-10749-0263","0263","10749","CA0190002","EAST LOS ANGELES","N"
16498731,"2013-08-31 04:35:00","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","11500 ARTESIA BLVD","ARTESIA","90701","6534742.54918324,1776225.97598145","913-16959-1348","1348","16959","CA0190013","LAKEWOOD","N"
16498976,"2013-08-31 12:00:00","064","BURGLARY, RESIDENCE: Day, Entry By Force","4300 BEULAH DR","LA CANADA FLINTRIDGE","91011","6501645.88208637,1894789.83504052","013-01692-1264","1264","01692","CA0190012","CRESCENTA VALLEY","N"
16504307,"2013-08-31 12:00:00","078","BURGLARY, OTHER STRUCTURE: Unknown, Entry No Force","23400 NEWHALL AVE","NEWHALL",,"6408236.09274977,1956326.15703579","913-12274-0625","0625","12274","CA0190006","SANTA CLARITA VALLEY","N"
16498906,"2013-08-31 13:30:00","064","BURGLARY, RESIDENCE: Day, Entry By Force","44200 HEATON AVE","LANCASTER",,"6517895.88731596,2072106.65888385","913-15686-1123","1123","15686","CA0190024","LANCASTER","N"
16499000,"2013-08-31 15:00:00","074","BURGLARY, OTHER STRUCTURE: Day, Entry By Force","18600 VIA PRINCESSA","CANYON COUNTRY",,"6422373.9747651,1969629.36733221","913-12020-0617","0617","12020","CA0190006","SANTA CLARITA VALLEY","N"
16499016,"2013-08-31 15:23:00","064","BURGLARY, RESIDENCE: Day, Entry By Force","6700 MAKEE AVE","LOS ANGELES","90001","6486981.61449896,1814735.9344531","913-13482-2171","2171","13482","CA01900V3","CENTURY","N"
16499135,"2013-08-31 15:45:00","064","BURGLARY, RESIDENCE: Day, Entry By Force","4800 SLAUSON AVE","LOS ANGELES","90056","6452136.62480587,1818262.66394821","913-02221-2767","2767","02221","CA0190065","MARINA DEL REY","N"
16506077,"2013-08-31 16:15:00","077","BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force","40500 FIELDSPRING ST","LAKE LOS ANGELES",,"6611378.87726444,2048052.31388417","913-16110-1197","1197","16110","CA0190024","LANCASTER","N"
16499592,"2013-08-31 17:45:00","065","BURGLARY, RESIDENCE: Day, Entry No Force","1500 E QUEENSDALE ST","COMPTON","90220","6498859.73280303,1788055.85592361","913-11385-2825","2825","11385","CA0190042","COMPTON","N"
16499355,"2013-08-31 19:07:30","068","BURGLARY, RESIDENCE: Unknown, Entry No Force","500 S SENTOUS AVE","WEST COVINA","91792","6597763.43033645,1824421.70510776","913-06046-2945","2945","06046","CA0190020","WALNUT","N"
16499428,"2013-08-31 21:00:00","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","9000 NEMO ST","WEST HOLLYWOOD","90069","6443982.52792513,1852617.42725953","913-05058-0977","0977","05058","CA0190009","WEST HOLLYWOOD","N"
16499533,"2013-08-31 21:30:00","069","BURGLARY, RESIDENCE: Unknown, Attempt","1300 VALEVIEW AVE","SAN DIMAS","91773","6617215.675417,1868147.976538","913-04320-0812","0812","04320","CA0190008","SAN DIMAS","N"
